,time_to_equilibrium,mean_happiness_checking_duration,mean_number_of_unhappy,median_number_of_unhappy,variance_of_unhappy_numbers,entropy_of_table_population,average_minority_percent,inter_table_variance_in_minority_percentages
168,99,2.0034313201904297e-05,10.0,10.0,101.01010101010101,1.4786258764929634,0.29999999999999993,0.026666666666666665
169,99,4.9989223480224606e-05,10.0,10.0,101.01010101010101,1.444646069133884,0.24166666666666664,0.01694444444444444
170,99,1.9984245300292967e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.38,0.0376
171,99,3.001689910888672e-05,10.0,10.0,101.01010101010101,1.305461684451695,,
172,99,3.9989948272705076e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.3466666666666666,0.03404444444444445
173,99,1.9998550415039068e-05,10.0,10.0,101.01010101010101,1.501327210229093,0.3466666666666666,0.03404444444444445
174,99,2.9978752136230468e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.30666666666666664,0.011177777777777778
175,99,7.002830505371094e-05,10.0,10.0,101.01010101010101,1.2870215789352992,,
176,99,4.947185516357422e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.31666666666666665,0.012222222222222223
177,99,8.05807113647461e-05,10.0,10.0,101.01010101010101,1.4786258764929634,0.3333333333333333,0.03333333333333334
178,99,6.0439109802246094e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.2,0.03777777777777778
179,99,2.9981136322021484e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.32666666666666666,0.029511111111111116
180,99,3.999471664428711e-05,10.0,10.0,101.01010101010101,1.5614694247763998,0.27999999999999997,0.020266666666666665
181,99,4.892349243164062e-05,10.0,10.0,101.01010101010101,1.2353468116280646,,
182,99,1.999378204345703e-05,10.0,10.0,101.01010101010101,1.5047882836811908,0.25,0.02777777777777778
183,99,9.00411605834961e-05,10.0,10.0,101.01010101010101,1.4702535277519118,0.22523809523809524,0.020071655328798184
184,99,5.9978961944580076e-05,10.0,10.0,101.01010101010101,1.4877983800016512,0.3333333333333333,0.008333333333333333
185,99,7.948875427246093e-05,10.0,10.0,101.01010101010101,1.4786258764929634,0.2333333333333333,0.04
186,99,7.005214691162109e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.24,0.0254
187,99,8.056640625e-05,10.0,10.0,101.01010101010101,1.4737146012040092,0.2857142857142857,0.032879818594104306
188,99,8.05044174194336e-05,10.0,10.0,101.01010101010101,1.5260394155804642,0.4023809523809524,0.009546485260770976
189,99,1.9989013671875e-05,10.0,10.0,101.01010101010101,1.400138654928281,0.16111111111111112,0.018641975308641975
190,99,3.000497817993164e-05,10.0,10.0,101.01010101010101,1.5545472778722047,0.3,0.03200000000000001
191,99,3.998756408691406e-05,10.0,10.0,101.01010101010101,1.3966775814761834,0.24666666666666667,0.04337777777777778
192,99,3.001689910888672e-05,10.0,10.0,101.01010101010101,1.56718085483299,0.36,0.0094
193,99,1.9996166229248048e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.20666666666666664,0.012511111111111112
194,99,2.9993057250976562e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.19999999999999998,0.012777777777777777
195,99,3.998756408691406e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.3466666666666667,0.009044444444444445
196,99,6.999492645263671e-05,10.0,10.0,101.01010101010101,1.4877983800016508,0.3833333333333333,0.01
